Zip,Location Code,Overall_Rating
11213,K289,P
11238,K316,P
11238,K340,U
11225,K352,P
11238,K353,P
11213,K354,P
11225,K375,U
11226,K382,P
11213,K394,P
11203,K397,P
11212,K398,P
11226,K399,WD
11226,K408,P
11233,K484,U
11225,K489,P
11225,K524,P
11225,K528,P
11203,K531,P
11226,K537,P
11226,K539,P
11226,K543,P
11203,K546,P
11225,K547,P
11225,K548,P
11212,K568,P
11225,K590,WD
11225,K600,P
11213,K751,D
11212,K770,P
11236,K066,WD
11236,K068,P
11236,K114,P
11236,K115,WD
11203,K135,P
11203,K208,WD
11236,K211,P
11212,K219,WD
11236,K233,P
11203,K235,P
11203,K244,WD
11203,K268,P
11236,K272,P
11236,K276,P
11236,K279,P
11203,K285,WD
11236,K366,D
11203,K563,P
11236,K566,P
11236,K567,U
11203,K569,P
11236,K576,P
11236,K578,WD
11203,K581,P
11212,K588,UPF
11203,K598,WD
11236,K617,D
11203,K629,P
11236,K633,WD
11236,K635,P
11236,K637,UPF
11236,K642,P
11212,K673,P
11208,K007,WD
11207,K013,WD
11208,K065,WD
11207,K089,P
11208,K108,WD
11207,K149,P
11207,K158,P
11208,K159,P
11208,K171,WD
11207,K190,P
11208,K202,P
11207,K213,P
11208,K214,P
11208,K218,P
11208,K224,P
11207,K273,P
11207,K290,WD
11207,K292,WD
11207,K306,P
11207,K325,P
11207,K328,P
11208,K345,P
11239,K346,P
11239,K364,P
11208,K404,P
11207,K409,WD
11239,K452,P
11207,K502,P
11207,K504,U
11207,K507,P
11207,K510,P
11208,K583,WD
11208,K615,WD
11208,K618,P
11208,K639,P
11208,K659,P
11207,K660,P
11208,K677,D
11208,K678,D
11208,K683,WD
11209,K030,P
11204,K048,WD
11218,K062,WD
11220,K069,WD
11209,K102,WD
11209,K104,WD
11219,K105,WD
11228,K112,WD
11228,K127,P
11219,K160,WD
11214,K163,WD
11219,K164,WD
11209,K170,WD
11219,K176,WD
11218,K179,P
11204,K180,P
11209,K185,WD
11214,K186,WD
11219,K187,WD
11204,K192,WD
11214,K200,WD
11228,K201,WD
11228,K204,WD
11204,K205,P
11220,K220,P
11204,K223,P
11204,K227,U
11228,K229,WD
11204,K247,WD
11228,K259,WD
11209,K264,P
11219,K310,P
11214,K445,WD
11220,K485,P
11209,K490,WD
11220,K503,P
11204,K505,WD
11220,K506,P
11204,K609,P
11204,K682,WD
11204,K686,P
11214,K748,P
11220,K971,P
11224,K090,WD
11223,K095,P
11204,K096,U
11223,K097,WD
11235,K098,P
11230,K099,WD
11224,K100,WD
11214,K101,WD
11204,K121,P
11214,K128,P
11229,K153,P
11204,K177,WD
11224,K188,WD
11230,K199,WD
11235,K209,WD
11214,K212,WD
11223,K215,WD
11223,K216,WD
11235,K225,P
11204,K226,P
11223,K228,P
11223,K238,WD
11224,K239,WD
11235,K253,WD
11214,K281,WD
11224,K288,U
11224,K303,WD
11224,K329,P
11214,K337,P
11224,K344,U
11214,K348,P
11235,K410,P
11214,K468,P
11230,K525,WD
11223,K540,WD
11214,K559,P
11214,K572,P
11235,K620,P
11214,K690,WD
11224,K728,WD
11235,K014,U
11235,K052,WD
11234,K078,U
11203,K109,WD
11210,K119,P
11218,K134,WD
11226,K139,P
11210,K152,WD
11210,K193,U
11229,K194,WD
11235,K195,WD
11210,K197,WD
11210,K198,P
11234,K203,WD
11229,K206,WD
11234,K207,WD
11230,K217,WD
11234,K222,WD
11229,K234,WD
11234,K236,WD
11210,K240,U
11226,K245,P
11234,K251,WD
11235,K254,WD
11229,K255,WD
11210,K269,WD
11229,K277,WD
11229,K278,WD
11234,K312,WD
11210,K315,WD
11234,K326,WD
11226,K361,WD
11210,K381,WD
11210,K405,WD
11229,K425,WD
11235,K535,P
11218,K555,WD
11212,K041,P
11233,K137,U
11212,K150,P
11233,K155,P
11212,K156,P
11212,K165,P
11233,K178,P
11212,K184,U
11212,K284,P
11212,K298,P
11212,K323,P
11212,K327,WD
11212,K392,P
11212,K401,D
11233,K493,P
11212,K514,WD
11212,K518,P
11233,K522,P
11212,K643,P
11233,K644,WD
11233,K646,UPF
11212,K647,P
11212,K671,D
11212,K697,WD
11373,Q005,WD
11373,Q007,P
11377,Q012,WD
11373,Q013,P
11368,Q014,P
11368,Q016,WD
11368,Q019,P
11368,Q028,P
11379,Q049,WD
11378,Q058,WD
11368,Q061,WD
11385,Q068,P
11385,Q071,P
11378,Q073,U
11385,Q077,WD
11385,Q081,P
11379,Q087,P
11385,Q088,P
11373,Q089,WD
11385,Q091,P
11385,Q093,WD
11373,Q102,P
11385,Q113,P
11385,Q119,P
11377,Q125,P
11379,Q128,WD
11368,Q143,P
11378,Q153,WD
11104,Q199,WD
11377,Q229,WD
11385,Q239,P
11101,Q264,P
11101,Q267,P
11385,Q290,WD
11373,Q293,P
11373,Q296,P
11101,Q299,P
11385,Q305,P
11368,Q307,P
11368,Q330,P
11373,Q455,P
11385,Q485,P
11101,Q520,P
11101,Q530,WD
11368,Q550,WD
11101,Q560,U
11373,Q585,P
11101,Q600,P
11101,Q610,WD
11373,Q744,WD
11373,Q877,WD
11355,Q020,WD
11354,Q021,WD
11355,Q022,P
11355,Q024,WD
11358,Q025,WD
11356,Q029,P
11358,Q032,WD
11357,Q079,WD
11358,Q107,WD
11355,Q120,P
11356,Q129,WD
11361,Q130,WD
11366,Q154,WD
11365,Q163,P
11367,Q164,P
11367,Q165,WD
11360,Q169,P
11357,Q184,WD
11354,Q185,WD
11355,Q189,P
11357,Q193,P
11357,Q194,WD
11365,Q200,P
11367,Q201,WD
11357,Q209,WD
11354,Q214,WD
11367,Q219,WD
11355,Q237,P
11354,Q242,WD
11355,Q244,P
11366,Q250,P
11366,Q252,P
11355,Q263,WD
11355,Q281,P
11358,Q285,P
11360,Q294,WD
11367,Q425,P
11354,Q460,P
11367,Q499,WD
11367,Q525,WD
11354,Q540,P
11366,Q670,WD
11367,Q792,P
11427,Q018,P
11365,Q026,WD
11361,Q031,WD
11361,Q041,WD
11364,Q046,WD
11362,Q067,P
11364,Q074,WD
11363,Q094,WD
11363,Q098,WD
11004,Q115,WD
11426,Q133,WD
11361,Q158,WD
11361,Q159,WD
11364,Q162,WD
11004,Q172,P
11365,Q173,WD
11423,Q178,P
11426,Q186,P
11364,Q188,P
11001,Q191,WD
11364,Q203,WD
11364,Q205,WD
11364,Q213,WD
11365,Q216,P
11362,Q221,WD
11426,Q266,WD
11364,Q415,WD
11365,Q430,WD
11427,Q435,P
11361,Q495,P
11426,Q566,WD
11692,Q042,P
11691,Q043,WD
11436,Q045,P
11693,Q047,P
11418,Q051,WD
11691,Q053,P
11418,Q056,WD
11421,Q060,WD
11419,Q062,WD
11417,Q063,WD
11416,Q064,P
11417,Q065,WD
11418,Q066,WD
11418,Q090,WD
11420,Q096,P
11421,Q097,P
11420,Q100,P
11691,Q104,P
11691,Q105,WD
11691,Q106,P
11420,Q108,WD
11694,Q114,P
11436,Q123,U
11420,Q124,WD
11417,Q137,WD
11414,Q146,WD
11420,Q155,P
11693,Q183,WD
11691,Q197,P
11417,Q202,P
11414,Q207,P
11416,Q210,P
11434,Q223,P
11420,Q226,P
11414,Q232,WD
11691,Q253,P
11418,Q254,P
11691,Q260,P
11694,Q262,P
11418,Q273,P
11691,Q282,P
11691,Q302,P
11421,Q306,WD
11417,Q308,P
11691,Q309,P
11694,Q317,P
11694,Q318,P
11691,Q319,P
11694,Q323,WD
11694,Q324,P
11692,Q333,P
11694,Q351,P
11434,Q400,WD
11418,Q475,P
11417,Q480,WD
11416,Q650,P
11433,Q008,WD
11433,Q040,U
11433,Q048,U
11435,Q050,P
11418,Q054,U
11419,Q055,P
11434,Q072,P
11434,Q080,WD
11435,Q082,WD
11432,Q086,P
11415,Q099,WD
11375,Q101,P
11435,Q117,WD
11420,Q121,WD
11374,Q139,WD
11434,Q140,P
11375,Q144,P
11374,Q157,WD
11435,Q160,P
11419,Q161,WD
11375,Q167,P
11374,Q174,WD
11374,Q175,WD
11432,Q182,P
11375,Q190,P
11375,Q196,WD
11374,Q206,WD
11435,Q217,WD
11375,Q220,WD
11433,Q284,U
11375,Q303,WD
11432,Q310,WD
11432,Q325,P
11432,Q328,P
11432,Q338,D
11432,Q350,P
11434,Q354,WD
11375,Q440,P
11432,Q505,P
11432,Q620,P
11432,Q680,P
11375,Q686,P
11433,Q687,P
11434,Q690,WD
11432,Q896,P
11413,Q015,P
11428,Q033,P
11429,Q034,WD
11423,Q035,P
11412,Q036,P
11434,Q037,P
11422,Q038,P
11434,Q052,P
11413,Q059,P
11432,Q095,WD
11428,Q109,P
11433,Q116,P
11412,Q118,WD
11432,Q131,WD
11413,Q132,WD
11412,Q134,P
11427,Q135,P
11412,Q136,U
11422,Q138,P
